ORPHAcode	PreferredTerm	Synonyms	ICDcodes
263425	Nevus of Ota	Nevus fusculoceruleus ophthalmomaxillaris	
3015	Radio-renal syndrome		Q87.8
263435	Congenital smooth muscle hamartoma		C44.8
3016	Absent radius-anogenital anomalies syndrome		Q87.8
263410	Infantile spasms-psychomotor retardation-progressive brain atrophy-basal ganglia disease syndrome		E88.8
3010	Qazi-Markouizos syndrome		Q87.8
3010	Qazi-Markouizos syndrome	Dysharmonic skeletal maturation-muscular fiber disproportion syndrome	
3011	Spastic tetraplegia-retinitis pigmentosa-intellectual disability syndrome		G82.4
3011	Spastic tetraplegia-retinitis pigmentosa-intellectual disability syndrome	Spastic quadriplegia-retinitis pigmentosa-intellectual disability syndrome	
769	Rabson-Mendenhall syndrome		E34.8
263413	Angiosarcoma		C49.9
3003	Pyknoachondrogenesis		Q78.8
3003	Pyknoachondrogenesis	Camera syndrome	
3005	Pyle disease		Q78.5
3005	Pyle disease	Metaphyseal dysplasia, Pyle type	
263347	MRCS syndrome		H35.5
263347	MRCS syndrome	Microcornea-rod-cone dystrophy-cataract-posterior staphyloma syndrome	
263352	Postcardiotomy right ventricular failure		I97.8
3004	Mirror polydactyly-vertebral segmentation-limbs defects syndrome		Q87.2
2997	Ptosis-vocal cord paralysis syndrome		J38.0
2997	Ptosis-vocal cord paralysis syndrome	Tucker syndrome	
2999	Ptosis-strabismus-ectopic pupils syndrome		Q10.0
2999	Ptosis-strabismus-ectopic pupils syndrome	McPherson-Hall syndrome	
2990	Autosomal recessive multiple pterygium syndrome		Q79.8
2990	Autosomal recessive multiple pterygium syndrome	Autosomal recessive non-lethal multiple pterygium syndrome	
2990	Autosomal recessive multiple pterygium syndrome	EVMPS	
2990	Autosomal recessive multiple pterygium syndrome	Escobar syndrome	
2990	Autosomal recessive multiple pterygium syndrome	Escobar variant multiple pterygium syndrome	
263297	Glycogen storage disease with severe cardiomyopathy due to glycogenin deficiency		E74.0
263297	Glycogen storage disease with severe cardiomyopathy due to glycogenin deficiency	GSD type 15	
263297	Glycogen storage disease with severe cardiomyopathy due to glycogenin deficiency	GSD type XV	
263297	Glycogen storage disease with severe cardiomyopathy due to glycogenin deficiency	GSD with severe cardiomyopathy due to glycogenin deficiency	
263297	Glycogen storage disease with severe cardiomyopathy due to glycogenin deficiency	Glycogen storage disease type 15	
263297	Glycogen storage disease with severe cardiomyopathy due to glycogenin deficiency	Glycogen storage disease type XV	
263297	Glycogen storage disease with severe cardiomyopathy due to glycogenin deficiency	Glycogenosis type 15	
263297	Glycogen storage disease with severe cardiomyopathy due to glycogenin deficiency	Glycogenosis type XV	
263297	Glycogen storage disease with severe cardiomyopathy due to glycogenin deficiency	Glycogenosis with severe cardiomyopathy due to glycogenin deficiency	
2987	Antecubital pterygium syndrome		Q87.2
2985	Pseudoprogeria syndrome		Q87.8
2985	Pseudoprogeria syndrome	Absent eyebrows and eyelashes-intellectual disability syndrome	
2985	Pseudoprogeria syndrome	Hal-Berg-Rudolph syndrome	
2989	Familial pterygium of the conjunctiva		H11.0
2988	Pterygium colli-intellectual disability-digital anomalies syndrome		Q87.0
2988	Pterygium colli-intellectual disability-digital anomalies syndrome	Khalifa-Graham syndrome	
3138	Ulnar-mammary syndrome		Q71.8
3138	Ulnar-mammary syndrome	Pallister ulnar-mammary syndrome	
3138	Ulnar-mammary syndrome	Schinzel syndrome	
3138	Ulnar-mammary syndrome	UMS	
3145	Nephrogenic diabetes insipidus-intracranial calcification-short stature-facial dysmorphism syndrome		N25.1
3143	Autoimmune polyendocrinopathy type 2		E31.0
3143	Autoimmune polyendocrinopathy type 2	APS type 2	
3143	Autoimmune polyendocrinopathy type 2	APS2	
3143	Autoimmune polyendocrinopathy type 2	Autoimmune polyendocrine syndrome type 2	
3143	Autoimmune polyendocrinopathy type 2	Autoimmune polyglandular syndrome type 2	
3143	Autoimmune polyendocrinopathy type 2	Autoimmune thyroid disease and/or type 1 diabetes-Addison disease syndrome	
3143	Autoimmune polyendocrinopathy type 2	Schmidt syndrome	
3144	Schneckenbecken dysplasia		Q77.7
3144	Schneckenbecken dysplasia	Chondrodysplasia with snail-like pelvis	
3144	Schneckenbecken dysplasia	SLC35D1-CDG	
3132	Say-Barber-Miller syndrome		Q87.8
3132	Say-Barber-Miller syndrome	Microcephaly-hypogammaglobulinemia-abnormal immunity syndrome	
3130	Satoyoshi syndrome		M35.8
3130	Satoyoshi syndrome	Komuragaeri disease	
798	Schinzel-Giedion syndrome		Q87.0
798	Schinzel-Giedion syndrome	SGS	
3134	SCARF syndrome		Q82.8
3121	Ruvalcaba syndrome		Q87.8
2909	Rothmund-Thomson syndrome		Q82.8
2909	Rothmund-Thomson syndrome	Poikiloderma of Rothmund-Thomson	
2909	Rothmund-Thomson syndrome	RTS	
3110	Rombo syndrome		L98.8
3115	Roussy-Lévy syndrome		G60.0
3115	Roussy-Lévy syndrome	Hereditary areflexic dystasia, Roussy-Lévy type	
3101	Richieri Costa-da Silva syndrome		Q87.8
3101	Richieri Costa-da Silva syndrome	Myotonia-intellectual disability-skeletal anomalies syndrome	
3102	Richieri Costa-Pereira syndrome		Q87.8
3102	Richieri Costa-Pereira syndrome	Short stature-Pierre Robin sequence-cleft mandible-hand anomalies clubfoot syndrome	
3102	Richieri Costa-Pereira syndrome	Short stature-Pierre Robin syndrome-cleft mandible-hand anomalies clubfoot syndrome	
3104	Robin sequence-oligodactyly syndrome		Q87.0
3104	Robin sequence-oligodactyly syndrome	Pierre Robin sequence-oligodactyly syndrome	
3109	Mayer-Rokitansky-Küster-Hauser syndrome		Q51.8
3109	Mayer-Rokitansky-Küster-Hauser syndrome	MRKH syndrome	
3109	Mayer-Rokitansky-Küster-Hauser syndrome	Rokitansky syndrome	
3086	Autosomal dominant vitreoretinochoroidopathy		H35.5
3086	Autosomal dominant vitreoretinochoroidopathy	ADVIRC	
3088	Revesz syndrome		Q82.8
3088	Revesz syndrome	Dyskeratosis congenita with bilateral exudative retinopathy	
3088	Revesz syndrome	Retinopathy-anemia-central nervous system anomalies syndrome	
3088	Revesz syndrome	Revesz-DeBuse syndrome	
3097	Meacham syndrome		Q87.8
3097	Meacham syndrome	Meacham-Winn-Culler syndrome	
3097	Meacham syndrome	Rhabdomyomatous dysplasia-cardiopathy-genital anomalies syndrome	
3098	Rhizomelic syndrome, Urbach type		Q87.1
3078	Severe X-linked intellectual disability, Gustavson type		F72.9
3077	X-linked intellectual disability-psychosis-macroorchidism syndrome		F71.1
3077	X-linked intellectual disability-psychosis-macroorchidism syndrome	Lindsay-Burn syndrome	
3077	X-linked intellectual disability-psychosis-macroorchidism syndrome	PPM-X	
3080	Intellectual disability, Wolff type		Q87.0
3080	Intellectual disability, Wolff type	Wolff-Zimmermann syndrome	
3079	Intellectual disability, Buenos-Aires type		Q87.8
3079	Intellectual disability, Buenos-Aires type	Mutchinick syndrome	
3063	X-linked intellectual disability, Snyder type		Q87.8
3063	X-linked intellectual disability, Snyder type	Snyder-Robinson syndrome	
3068	Intellectual disability-myopathy-short stature-endocrine defect syndrome		Q87.8
3068	Intellectual disability-myopathy-short stature-endocrine defect syndrome	Chudley-Rozdilsky syndrome	
2886	TARP syndrome		Q87.8
2886	TARP syndrome	Pierre Robin sequence-congenital heart defect-talipes syndrome	
2886	TARP syndrome	Pierre Robin syndrome-congenital heart defect-talipes syndrome	
2886	TARP syndrome	Talipes equinovarus-atrial septal defect-Robin sequence-persistence of the left superior vena cava syndrome	
268861	Primary tethered cord syndrome		Q06.8
268861	Primary tethered cord syndrome	Primary tethered spinal cord syndrome	
2885	Piebald trait-neurologic defects syndrome		
2885	Piebald trait-neurologic defects syndrome	Telfer-Sugar-Jaeger syndrome	
2884	Piebaldism		E70.3
2881	Cutaneous photosensitivity-lethal colitis syndrome		L57.8
2879	Phocomelia, Schinzel type		Q87.2
2879	Phocomelia, Schinzel type	Al Awadi-Raas-Rothschild syndrome	
2879	Phocomelia, Schinzel type	Aplasia/hypoplasia of limbs and pelvis	
2879	Phocomelia, Schinzel type	Congenital absence of ulna and fibula	
2879	Phocomelia, Schinzel type	Severe limb deficit	
2878	Phocomelia-ectrodactyly-deafness-sinus arrhythmia syndrome		Q87.2
2878	Phocomelia-ectrodactyly-deafness-sinus arrhythmia syndrome	Phocomelia-ectrodactyly-hearing loss-sinus arrhythmia syndrome	
2878	Phocomelia-ectrodactyly-deafness-sinus arrhythmia syndrome	Stoll-Lévy-Francfort syndrome	
268882	Arnold-Chiari malformation type I		Q07.0
268882	Arnold-Chiari malformation type I	Arnold-Chiari malformation type 1	
268882	Arnold-Chiari malformation type I	Chiari malformation type 1	
268882	Arnold-Chiari malformation type I	Chiari malformation type I	
2892	Pilodental dysplasia-refractive errors syndrome		Q82.4
2892	Pilodental dysplasia-refractive errors syndrome	Euhidrotic ectodermal dysplasia	
2892	Pilodental dysplasia-refractive errors syndrome	Kopysc-Barczyk-Krol syndrome	
2891	Pili torti-developmental delay-neurological abnormalities syndrome		Q84.1
2889	Pili torti		Q84.1
2889	Pili torti	Twisted hair	
2890	Pili torti-onychodysplasia syndrome		Q82.4
268865	Neurenteric cyst		Q06.8
2888	Pierre Robin syndrome-faciodigital anomaly syndrome		Q87.8
2888	Pierre Robin syndrome-faciodigital anomaly syndrome	Chitayat-Meunier-Hodgkinson syndrome	
2888	Pierre Robin syndrome-faciodigital anomaly syndrome	Pierre Robin sequence-faciodigital anomaly syndrome	
268868	Isolated amyelia		Q06.0
2865	Short stature-webbed neck-heart disease syndrome		Q87.8
2865	Short stature-webbed neck-heart disease syndrome	Al Gazali-Aziz-Salem syndrome	
2866	Short stature-deafness-neutrophil dysfunction-dysmorphism syndrome		Q87.1
2866	Short stature-deafness-neutrophil dysfunction-dysmorphism syndrome	Short stature-hearing loss-neutrophil dysfunction-dysmorphism syndrome	
2866	Short stature-deafness-neutrophil dysfunction-dysmorphism syndrome	Thong-Douglas-Ferrante syndrome	
2863	Short stature-wormian bones-dextrocardia syndrome		Q87.1
2863	Short stature-wormian bones-dextrocardia syndrome	Stratton-Parker syndrome	
2875	Phakomatosis pigmentovascularis		Q85.8
2876	PHAVER syndrome		Q87.8
2876	PHAVER syndrome	Powell-Chandra-Saal syndrome	
268820	Cranial meningocele		Q01.1
268820	Cranial meningocele		Q01.2
268820	Cranial meningocele		Q01.8
268820	Cranial meningocele		Q01.9
268820	Cranial meningocele		Q01.0
2874	Phakomatosis pigmentokeratotica		Q85.8
268810	Isolated posterior meningocele		Q05.7
268810	Isolated posterior meningocele		Q05.8
268810	Isolated posterior meningocele		Q05.3
268810	Isolated posterior meningocele		Q05.2
2871	Pfeiffer-Palm-Teller syndrome		Q87.1
2872	Cardiocranial syndrome, Pfeiffer type		Q87.8
2872	Cardiocranial syndrome, Pfeiffer type	Craniosynostosis-congenital heart disease-intellectual disability syndrome	
2872	Cardiocranial syndrome, Pfeiffer type	Pfeiffer-Singer-Zschiesche syndrome	
2867	Short stature, Brussels type		Q87.1
2867	Short stature, Brussels type	Mievis-Verellen-Dumoulin syndrome	
2868	Short stature-valvular heart disease-characteristic facies syndrome		Q87.1
2842	Penoscrotal transposition		Q55.8
2848	Camptodactyly-arthropathy-coxa-vara-pericarditis syndrome		M12.8
2848	Camptodactyly-arthropathy-coxa-vara-pericarditis syndrome	Arthropathy-camptodactyly syndrome	
2848	Camptodactyly-arthropathy-coxa-vara-pericarditis syndrome	CACP syndrome	
2848	Camptodactyly-arthropathy-coxa-vara-pericarditis syndrome	Jacobs syndrome	
2848	Camptodactyly-arthropathy-coxa-vara-pericarditis syndrome	Pericarditis-arthropathy-camptodactyly syndrome	
2847	Pericardial and diaphragmatic defect		Q79.1
2838	Renal caliceal diverticuli-deafness syndrome		Q64.8
2838	Renal caliceal diverticuli-deafness syndrome	Renal caliceal diverticuli-hearing loss syndrome	
268322	Hereditary thrombocytopenia with normal platelets		D69.4
2840	Pelvic dysplasia-arthrogryposis of lower limbs syndrome		Q68.8
2840	Pelvic dysplasia-arthrogryposis of lower limbs syndrome	Ray-Peterson-Scott syndrome	
2839	Pelvis-shoulder dysplasia		Q87.5
2839	Pelvis-shoulder dysplasia	Kosenow syndrome	
2839	Pelvis-shoulder dysplasia	Scapuloiliac dysostosis	
2855	Perrault syndrome		Q87.8
2855	Perrault syndrome	XX gonodal dysgenesis-deafness syndrome	
2855	Perrault syndrome	XX gonodal dysgenesis-hearing loss syndrome	
2854	Fuhrmann syndrome		Q74.8
2854	Fuhrmann syndrome	Fibular hypoplasia or aplasia-femoral bowing-oligodactyly syndrome	
2854	Fuhrmann syndrome	Fuhrmann-Rieger-de Sousa syndrome	
708	Peters anomaly		Q13.4
708	Peters anomaly	Peters congenital glaucoma	
2850	Alopecia-intellectual disability syndrome		Q87.8
2850	Alopecia-intellectual disability syndrome	Perniola-Krajewska-Carnevale syndrome	
268114	RAS-associated autoimmune leukoproliferative disease		D72.8
268114	RAS-associated autoimmune leukoproliferative disease	RALD	
2825	PARC syndrome		Q87.8
2825	PARC syndrome	Poikiloderma-alopecia-retrognathism-cleft palate syndrome	
2826	Spastic paraplegia-precocious puberty syndrome		G11.4
268139	Intraocular medulloepithelioma		D31.4
268139	Intraocular medulloepithelioma	Orbital medulloepithelioma	
268129	Spheroid body myopathy		G71.8
2819	Spastic paraplegia-facial-cutaneous lesions syndrome		G11.4
2819	Spastic paraplegia-facial-cutaneous lesions syndrome	Bahemuka-Brown syndrome	
2820	Spastic paraplegia-nephritis-deafness syndrome		G11.4
2820	Spastic paraplegia-nephritis-deafness syndrome	Fitzsimmons-Walson-Mellor syndrome	
2820	Spastic paraplegia-nephritis-deafness syndrome	Spastic paraplegia-nephritis-hearing loss syndrome	
2821	Spastic paraplegia-neuropathy-poikiloderma syndrome		G11.4
2821	Spastic paraplegia-neuropathy-poikiloderma syndrome	Antinolo-Nieto-Borrego syndrome	
2822	Autosomal recessive spastic paraplegia type 11		G11.4
2822	Autosomal recessive spastic paraplegia type 11	Nakamura-Osame syndrome	
2822	Autosomal recessive spastic paraplegia type 11	SPG11	
2822	Autosomal recessive spastic paraplegia type 11	Spastic paraplegia-intellectual disability-thin corpus callosum syndrome	
2835	Pectus excavatum-macrocephaly-dysplastic nails syndrome		Q87.5
2835	Pectus excavatum-macrocephaly-dysplastic nails syndrome	Zori-Stalker-Williams syndrome	
2836	PEHO syndrome		G31.8
2836	PEHO syndrome	Progressive encephalopathy with edema, hypsarrhythmia and optic atrophy	
2836	PEHO syndrome	Progressive encephalopathy-optic atrophy syndrome	
268249	Mycophenolate mofetil embryopathy		Q86.8
268249	Mycophenolate mofetil embryopathy	MMF embryopathy	
268316	Complication in hemodialysis		Y84.1
2832	Short tarsus-absence of lower eyelashes syndrome		Q87.2
2832	Short tarsus-absence of lower eyelashes syndrome	Lopes-Gorlin syndrome	
2833	Stiff skin syndrome		L98.8
2969	Proteus-like syndrome		Q87.3
2964	Autosomal dominant prognathism		K07.1
2962	De Barsy syndrome		Q87.8
2962	De Barsy syndrome	Cutis laxa-corneal clouding-intellectual disability syndrome	
2962	De Barsy syndrome	Progeroid syndrome, De Barsy type	
2973	46,XX difference of sex development-anorectal anomalies syndrome		Q56.2
2973	46,XX difference of sex development-anorectal anomalies syndrome	46,XX disorder of sex development-anorectal anomalies syndrome	
2972	Non-eruption of teeth-maxillary hypoplasia-genu valgum syndrome		K07.0
2972	Non-eruption of teeth-maxillary hypoplasia-genu valgum syndrome	Stoelinga-de Koomen-Davis syndrome	
750	Pseudoachondroplasia		Q77.8
750	Pseudoachondroplasia	Pseudoachondroplastic dysplasia	
750	Pseudoachondroplasia	Pseudoachondroplastic spondyloepiphyseal dysplasia	
2976	Pseudoleprechaunism syndrome, Patterson type		E34.8
2976	Pseudoleprechaunism syndrome, Patterson type	Patterson pseudoleprechaunism syndrome	
2976	Pseudoleprechaunism syndrome, Patterson type	Patterson syndrome	
2975	46,XX difference of sex development-skeletal anomalies syndrome		Q56.2
2975	46,XX difference of sex development-skeletal anomalies syndrome	46,XX disorder of sex development-skeletal anomalies syndrome	
2980	Acrootoocular syndrome		Q87.0
2980	Acrootoocular syndrome	Pseudopapilledema-blepharophimosis-hand anomalies syndrome	
2978	Chronic intestinal pseudoobstruction		K59.8
2978	Chronic intestinal pseudoobstruction	CIPO	
2946	Brachydactyly-long thumb syndrome		Q87.2
2946	Brachydactyly-long thumb syndrome	Brachydactyly, long thumb type	
2951	Absent thumb-short stature-immunodeficiency syndrome		D82.8
2947	Triphalangeal thumbs-brachyectrodactyly syndrome		Q74.8
2947	Triphalangeal thumbs-brachyectrodactyly syndrome	Carnevale-Hernández-del Castillo syndrome	
264978	Drug or radiation exposure-related interstitial lung disease		J70.2
264978	Drug or radiation exposure-related interstitial lung disease		J70.3
264978	Drug or radiation exposure-related interstitial lung disease		J70.4
2956	Acrodysplasia scoliosis		Q87.5
2956	Acrodysplasia scoliosis	Brachydactyly-scoliosis-carpal fusion syndrome	
2956	Acrodysplasia scoliosis	Prata-Liberal-Goncalves syndrome	
2952	Adducted thumbs-arthrogryposis syndrome, Christian type		Q74.8
740	Hutchinson-Gilford progeria syndrome		E34.8
740	Hutchinson-Gilford progeria syndrome	HGPS	
740	Hutchinson-Gilford progeria syndrome	Progeria	
2959	Progeria-short stature-pigmented nevi syndrome		Q87.1
2959	Progeria-short stature-pigmented nevi syndrome	Mulvihill-Smith syndrome	
2957	Guttmacher syndrome		Q87.2
2957	Guttmacher syndrome	Preaxial deficiency-postaxial polydactyly-hypospadias syndrome	
2958	X-linked intellectual disability-dysmorphism-cerebral atrophy syndrome		Q87.8
2958	X-linked intellectual disability-dysmorphism-cerebral atrophy syndrome	Prieto-Badia-Mulas syndrome	
2924	Isolated polycystic liver disease		Q44.6
2924	Isolated polycystic liver disease	ADPCLD	
2924	Isolated polycystic liver disease	Autosomal dominant polycystic liver disease	
2924	Isolated polycystic liver disease	PCLD	
2926	Digital extensor muscle aplasia-polyneuropathy		Q87.8
2926	Digital extensor muscle aplasia-polyneuropathy	Congenital aplasia of the extensor muscles of the fingers and thumb associated with generalized polyneuropathy	
2926	Digital extensor muscle aplasia-polyneuropathy	Hamanishi-Ueba-Tsuji syndrome	
2926	Digital extensor muscle aplasia-polyneuropathy	Polyneuropathy-hand defect syndrome	
2928	Polyneuropathy-intellectual disability-acromicria-premature menopause syndrome		Q87.8
2928	Polyneuropathy-intellectual disability-acromicria-premature menopause syndrome	Lundberg syndrome	
2930	Cronkhite-Canada syndrome		D12.6
2930	Cronkhite-Canada syndrome	Gastrointestinal polyposis-ectodermal changes syndrome	
2930	Cronkhite-Canada syndrome	Gastrointestinal polyposis-skin pigmentation-alopecia-fingernail changes syndrome	
2935	Crossed polysyndactyly		Q70.4
2934	Polysyndactyly-cardiac malformation syndrome		Q87.8
2934	Polysyndactyly-cardiac malformation syndrome	Bonneau syndrome	
2941	Porencephaly-cerebellar hypoplasia-internal malformations syndrome		Q87.8
2941	Porencephaly-cerebellar hypoplasia-internal malformations syndrome	Bonnemann-Meinecke syndrome	
2940	Porencephaly		Q04.6
2896	Pitt-Hopkins syndrome		Q87.0
2899	Brachyolmia-amelogenesis imperfecta syndrome		Q76.3
2899	Brachyolmia-amelogenesis imperfecta syndrome	Platyspondyly-amelogenesis imperfecta syndrome	
2899	Brachyolmia-amelogenesis imperfecta syndrome	Verloes-Bourguignon syndrome	
2900	Leri pleonosteosis		Q68.8
2905	POEMS syndrome		D47.7
2905	POEMS syndrome	Crow-Fukase syndrome	
2905	POEMS syndrome	Osteosclerotic myeloma	
2905	POEMS syndrome	PEP syndrome	
2905	POEMS syndrome	Polyneuropathy-endocrinopathy-plasma cell dyscrasia syndrome	
2905	POEMS syndrome	Takatsuki syndrome	
264450	Trisomy 8p		Q92.2
264450	Trisomy 8p	Duplication 8p	
2907	Hereditary acrokeratotic poikiloderma		Q82.8
2907	Hereditary acrokeratotic poikiloderma	Weary syndrome	
2911	Poland syndrome		Q79.8
2911	Poland syndrome	Poland anomaly	
2911	Poland syndrome	Poland sequence	
264580	Glycogen storage disease due to liver phosphorylase kinase deficiency		E74.0
264580	Glycogen storage disease due to liver phosphorylase kinase deficiency	GSD due to liver phosphorylase kinase deficiency	
264580	Glycogen storage disease due to liver phosphorylase kinase deficiency	GSD type 9A	
264580	Glycogen storage disease due to liver phosphorylase kinase deficiency	GSD type 9C	
264580	Glycogen storage disease due to liver phosphorylase kinase deficiency	GSD type IXa	
264580	Glycogen storage disease due to liver phosphorylase kinase deficiency	GSD type IXc	
264580	Glycogen storage disease due to liver phosphorylase kinase deficiency	Glycogen storage disease type 9A	
264580	Glycogen storage disease due to liver phosphorylase kinase deficiency	Glycogen storage disease type 9C	
264580	Glycogen storage disease due to liver phosphorylase kinase deficiency	Glycogen storage disease type IXa	
264580	Glycogen storage disease due to liver phosphorylase kinase deficiency	Glycogen storage disease type IXc	
264580	Glycogen storage disease due to liver phosphorylase kinase deficiency	Glycogenosis due to liver phosphorylase kinase deficiency	
264580	Glycogen storage disease due to liver phosphorylase kinase deficiency	Glycogenosis type 9A	
264580	Glycogen storage disease due to liver phosphorylase kinase deficiency	Glycogenosis type 9C	
264580	Glycogen storage disease due to liver phosphorylase kinase deficiency	Glycogenosis type IXa	
264580	Glycogen storage disease due to liver phosphorylase kinase deficiency	Glycogenosis type IXc	
264580	Glycogen storage disease due to liver phosphorylase kinase deficiency	XLG	
2916	Postaxial polydactyly-dental and vertebral anomalies syndrome		Q87.2
2917	Polydactyly-myopia syndrome		Q87.2
2917	Polydactyly-myopia syndrome	Czeizel-Brooser syndrome	
2919	Orofaciodigital syndrome type 5		Q87.0
2919	Orofaciodigital syndrome type 5	OFD5	
2919	Orofaciodigital syndrome type 5	Oral-facial-digital syndrome type 5	
2919	Orofaciodigital syndrome type 5	Orofaciodigital syndrome, Thurston type	
2919	Orofaciodigital syndrome type 5	Polydactyly postaxial with median cleft of upper lip	
2919	Orofaciodigital syndrome type 5	Thurston syndrome	
264675	Hereditary pulmonary alveolar proteinosis		J84.0
264675	Hereditary pulmonary alveolar proteinosis	Congenital PAP	
264675	Hereditary pulmonary alveolar proteinosis	Congenital pulmonary alveolar proteinosis	
2920	Oliver syndrome		Q87.2
2920	Oliver syndrome	Postaxial polydactyly-intellectual disability syndrome	
264691	Isolated pulmonary capillaritis		J84.8
2921	Preaxial polydactyly-colobomata-intellectual disability syndrome		Q87.2
2921	Preaxial polydactyly-colobomata-intellectual disability syndrome	Pfeiffer-Mayer syndrome	
264688	Congenital chylothorax		I89.8
3374	Unilateral ocular duplication		Q15.8
3374	Unilateral ocular duplication	Triophthalmia	
3374	Unilateral ocular duplication	Triopia	
3374	Unilateral ocular duplication	Unilateral diplophthalmia	
3374	Unilateral ocular duplication	Unilateral diplophthalmos	
1717	Distal duplication 19q		Q92.3
1717	Distal duplication 19q	Distal trisomy 19q	
1717	Distal duplication 19q	Telomeric duplication 19q	
1717	Distal duplication 19q	Trisomy 19qter	
3377	Trismus-pseudocamptodactyly syndrome		Q68.8
3377	Trismus-pseudocamptodactyly syndrome	Distal arthrogryposis type 7	
3377	Trismus-pseudocamptodactyly syndrome	Dutch-Kentucky syndrome	
3377	Trismus-pseudocamptodactyly syndrome	Hecht syndrome	
3377	Trismus-pseudocamptodactyly syndrome	Hecht-Beals syndrome	
3368	Trigonocephaly-bifid nose-acral anomalies syndrome		Q87.0
3369	Trigonocephaly-short stature-developmental delay syndrome		Q87.0
3369	Trigonocephaly-short stature-developmental delay syndrome	Say-Meyer syndrome	
3363	Trichomegaly-retina pigmentary degeneration-dwarfism syndrome		Q87.1
3363	Trichomegaly-retina pigmentary degeneration-dwarfism syndrome	Long eyelashes-intellectual disability syndrome	
3363	Trichomegaly-retina pigmentary degeneration-dwarfism syndrome	Oliver-McFarlane syndrome	
275761	Lysosomal acid lipase deficiency		E75.5
275761	Lysosomal acid lipase deficiency	LAL deficiency	
3366	Non-syndromic metopic craniosynostosis		Q75.0
3366	Non-syndromic metopic craniosynostosis	Isolated metopic craniosynostosis	
3366	Non-syndromic metopic craniosynostosis	Isolated trigonocephaly	
3366	Non-syndromic metopic craniosynostosis	Non-syndromic metopic suture synostosis	
3365	Trigonocephaly-broad thumbs syndrome		Q87.0
3365	Trigonocephaly-broad thumbs syndrome	Hunter-Rudd-Hoffmann syndrome	
3361	Trichodysplasia-xeroderma syndrome		L67.8
3408	Upington disease		M91.8
3408	Upington disease	Hip dysplasia-enchondromata-ecchondroma syndrome	
276148	Benign epithelial tumor of salivary glands		D11.0
276148	Benign epithelial tumor of salivary glands		D11.7
3409	Urban-Rogers-Meyer syndrome		Q87.8
3409	Urban-Rogers-Meyer syndrome	Intellectual disability-short stature-hand contractures-genital anomalies syndrome	
3409	Urban-Rogers-Meyer syndrome	Prader-Willi habitus-osteopenia-camptodactyly syndrome	
276145	Malignant epithelial tumor of salivary glands		C07
276145	Malignant epithelial tumor of salivary glands		C08.0
276145	Malignant epithelial tumor of salivary glands		C08.1
276145	Malignant epithelial tumor of salivary glands		C08.8
3412	VACTERL with hydrocephalus		Q87.8
3412	VACTERL with hydrocephalus	Sujansky-Leonard syndrome	
276152	Multiple endocrine neoplasia type 4		D44.8
276152	Multiple endocrine neoplasia type 4	MEN4	
3403	Uhl anomaly		Q24.8
3404	Ulbright-Hodes syndrome		Q87.8
3404	Ulbright-Hodes syndrome	Renal dysplasia-limb defects syndrome	
3404	Ulbright-Hodes syndrome	Renal dysplasia-mesomelia-radiohumeral fusion syndrome	
276066	Bile acid CoA ligase deficiency and defective amidation		K76.8
275872	Frontotemporal dementia with motor neuron disease		G31.0
275872	Frontotemporal dementia with motor neuron disease	FTD-ALS	
275872	Frontotemporal dementia with motor neuron disease	FTD-MND	
275872	Frontotemporal dementia with motor neuron disease	Frontotemporal dementia with amyotrophic lateral sclerosis	
3383	Humerus trochlea aplasia		Q74.0
3384	Truncus arteriosus		Q20.0
3384	Truncus arteriosus	Common aorticopulmonary trunk	
3384	Truncus arteriosus	Common arterial trunk	
3384	Truncus arteriosus	TAC	
275864	Behavioral variant of frontotemporal dementia		G31.0
275864	Behavioral variant of frontotemporal dementia	bv-FTD	
275944	Hemolytic disease of the newborn with Kell alloimmunization		P55.8
275944	Hemolytic disease of the newborn with Kell alloimmunization	Anti-K HDN	
275944	Hemolytic disease of the newborn with Kell alloimmunization	Maternal anti-Kell alloimmunization	
3387	Isolated anterior cervical hypertrichosis		L68.2
3387	Isolated anterior cervical hypertrichosis	Hairy throat syndrome	
3387	Isolated anterior cervical hypertrichosis	Tsukahara-Kajii syndrome	
1723	Mosaic trisomy 2		Q92.1
1723	Mosaic trisomy 2	Mosaic trisomy chromosome 2	
1723	Mosaic trisomy 2	Trisomy 2 mosaicism	
1724	Mosaic trisomy 20		Q92.1
1724	Mosaic trisomy 20	Mosaic trisomy chromosome 20	
1724	Mosaic trisomy 20	Trisomy 20 mosaicism	
1747	Mosaic trisomy 7		Q92.1
1747	Mosaic trisomy 7	Mosaic trisomy chromosome 7	
1747	Mosaic trisomy 7	Trisomy 7 mosaicism	
3329	Tibial aplasia-ectrodactyly syndrome		Q73.8
3329	Tibial aplasia-ectrodactyly syndrome	Aplasia of tibia with split-hand/split-foot deformity	
3329	Tibial aplasia-ectrodactyly syndrome	SHFLD syndrome	
3329	Tibial aplasia-ectrodactyly syndrome	SHFM associated with aplasia of long bones	
3329	Tibial aplasia-ectrodactyly syndrome	Split hand/foot malformation with long bone deficiency	
3329	Tibial aplasia-ectrodactyly syndrome	Split-hand/foot malformation associated with aplasia of long bones	
3329	Tibial aplasia-ectrodactyly syndrome	TH-SHFM	
3329	Tibial aplasia-ectrodactyly syndrome	Tibial hemimelia with split hand/foot malformation	
